Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:21:25] 	0.670	-0.025	-3.6	57	0.670	0.675	105	0.690	0.670
[00:00:07] 	0.695	-	-	2	0.685	0.695	156	0.700	0.670
[00:03:23] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:03:39] 	0.695	-	-	2	0.685	0.695	156	0.700	0.670
[02:05:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[02:05:18] 	0.695	-	-	2	0.685	0.695	156	0.700	0.670
[08:29:51] 	-	-	-	20	0.680	0.705	10	-	-
[08:31:21] 	-	-	-	2	0.730	0.595	35	-	-
[08:35:44] 	-	-	-	30	0.750	0.595	35	-	-
[08:57:40] 	-	-	-	43	0.820	0.595	35	-	-
[08:59:20] 	-	-	-	20	0.690	0.700	18	-	-
[08:59:51] 	0.705	+0.010	+1.4	10	0.700	0.705	41	0.705	0.700
[09:00:52] 	0.705	+0.010	+1.4	105	0.700	0.705	10	0.705	0.700
[09:02:42] 	0.705	+0.010	+1.4	117	0.700	0.705	90	0.705	0.700
[09:03:53] 	0.705	+0.010	+1.4	117	0.700	0.705	95	0.705	0.700
[09:04:43] 	0.705	+0.010	+1.4	147	0.700	0.705	115	0.705	0.700
[09:06:40] 	0.705	+0.010	+1.4	169	0.700	0.705	150	0.705	0.700
[09:07:52] 	0.705	+0.010	+1.4	169	0.700	0.705	153	0.705	0.700
[09:09:45] 	0.705	+0.010	+1.4	173	0.700	0.705	141	0.705	0.700
[09:10:47] 	0.705	+0.010	+1.4	173	0.700	0.705	127	0.705	0.700
[09:11:55] 	0.705	+0.010	+1.4	173	0.700	0.705	85	0.705	0.700
[09:14:14] 	0.705	+0.010	+1.4	157	0.700	0.705	50	0.705	0.700
[09:14:45] 	0.705	+0.010	+1.4	157	0.700	0.705	58	0.705	0.700
[09:16:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:16:58] 	0.705	+0.010	+1.4	165	0.700	0.705	99	0.705	0.700
[09:18:14] 	0.705	+0.010	+1.4	165	0.700	0.705	71	0.705	0.700
[09:19:06] 	0.705	+0.010	+1.4	164	0.700	0.705	69	0.705	0.700
[09:20:13] 	0.705	+0.010	+1.4	179	0.700	0.705	41	0.705	0.700
[09:20:44] 	0.705	+0.010	+1.4	179	0.700	0.705	30	0.705	0.700
[09:23:31] 	0.705	+0.010	+1.4	96	0.705	0.710	132	0.705	0.700
[09:25:13] 	0.710	+0.015	+2.2	128	0.705	0.710	120	0.710	0.700
[09:26:00] 	0.710	+0.015	+2.2	128	0.705	0.710	130	0.710	0.700
[09:27:51] 	0.710	+0.015	+2.2	136	0.705	0.710	122	0.710	0.700
[09:29:53] 	0.710	+0.015	+2.2	39	0.710	0.715	110	0.715	0.700
[09:34:14] 	0.715	+0.020	+2.9	111	0.710	0.715	58	0.715	0.700
[09:34:52] 	0.715	+0.020	+2.9	131	0.710	0.715	83	0.715	0.700
[09:36:02] 	0.715	+0.020	+2.9	123	0.710	0.715	19	0.715	0.700
[09:37:06] 	0.720	+0.025	+3.6	141	0.715	0.720	3	0.720	0.700
[09:37:40] 	0.720	+0.025	+3.6	141	0.715	0.720	53	0.720	0.700
[09:40:13] 	0.720	+0.025	+3.6	141	0.715	0.720	1	0.720	0.700
[09:40:47] 	0.720	+0.025	+3.6	141	0.715	0.720	31	0.720	0.700
[09:43:00] 	0.720	+0.025	+3.6	3	0.720	0.725	93	0.720	0.700
[09:44:25] 	0.720	+0.025	+3.6	61	0.720	0.725	93	0.720	0.700
[09:44:57] 	0.725	+0.030	+4.3	150	0.720	0.725	73	0.725	0.700
[09:45:47] 	0.725	+0.030	+4.3	150	0.720	0.725	61	0.725	0.700
[09:45:57] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:46:11] 	0.725	+0.030	+4.3	150	0.720	0.725	61	0.725	0.700
[09:46:44] 	0.725	+0.030	+4.3	150	0.720	0.725	86	0.725	0.700
[09:49:08] 	0.725	+0.030	+4.3	150	0.720	0.725	55	0.725	0.700
[09:49:48] 	0.725	+0.030	+4.3	150	0.720	0.725	51	0.725	0.700
[09:50:53] 	0.725	+0.030	+4.3	150	0.720	0.725	51	0.725	0.700
[09:51:40] 	0.720	+0.025	+3.6	139	0.720	0.725	51	0.725	0.700
[09:52:44] 	0.725	+0.030	+4.3	29	0.725	0.730	434	0.725	0.700
[09:52:49] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:53:10] 	0.725	+0.030	+4.3	29	0.725	0.730	434	0.725	0.700
[09:53:41] 	0.725	+0.030	+4.3	90	0.720	0.725	5	0.725	0.700
[09:54:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:54:34] 	0.725	+0.030	+4.3	90	0.720	0.725	5	0.725	0.700
[09:55:00] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:55:32] 	0.725	+0.030	+4.3	147	0.720	0.725	15	0.725	0.700
[09:56:08] 	0.725	+0.030	+4.3	147	0.720	0.725	15	0.725	0.700
[09:56:10] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:57:08] 	0.725	+0.030	+4.3	147	0.720	0.725	25	0.725	0.700
[10:00:13] 	0.725	+0.030	+4.3	173	0.720	0.725	29	0.725	0.700
[10:00:48] 	0.725	+0.030	+4.3	173	0.720	0.725	39	0.725	0.700
[10:03:01] 	0.720	+0.025	+3.6	154	0.720	0.725	69	0.725	0.700
[10:03:47] 	0.725	+0.030	+4.3	146	0.720	0.725	74	0.725	0.700
[10:04:57] 	0.725	+0.030	+4.3	162	0.720	0.725	87	0.725	0.700
[10:09:28] 	0.720	+0.025	+3.6	153	0.720	0.725	103	0.725	0.700
[10:10:14] 	0.720	+0.025	+3.6	153	0.720	0.725	98	0.725	0.700
[10:10:50] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:11:00] 	0.720	+0.025	+3.6	153	0.720	0.725	113	0.725	0.700
[10:11:49] 	0.720	+0.025	+3.6	138	0.720	0.725	113	0.725	0.700
[10:13:38] 	0.720	+0.025	+3.6	156	0.720	0.725	113	0.725	0.700
[10:14:39] 	0.720	+0.025	+3.6	131	0.720	0.725	115	0.725	0.700
[10:16:14] 	0.720	+0.025	+3.6	151	0.720	0.725	115	0.725	0.700
[10:16:51] 	0.720	+0.025	+3.6	165	0.720	0.725	177	0.725	0.700
[10:18:44] 	0.725	+0.030	+4.3	188	0.720	0.725	160	0.725	0.700
[10:20:05] 	0.725	+0.030	+4.3	188	0.720	0.725	159	0.725	0.700
[10:21:48] 	0.725	+0.030	+4.3	193	0.720	0.725	166	0.725	0.700
[10:22:39] 	0.725	+0.030	+4.3	193	0.720	0.725	176	0.725	0.700
[10:24:38] 	0.720	+0.025	+3.6	198	0.720	0.725	176	0.725	0.700
[10:26:08] 	0.720	+0.025	+3.6	236	0.720	0.725	156	0.725	0.700
[10:26:49] 	0.725	+0.030	+4.3	226	0.720	0.725	157	0.725	0.700
[10:29:06] 	0.725	+0.030	+4.3	225	0.720	0.725	200	0.725	0.700
[10:31:00] 	0.725	+0.030	+4.3	225	0.720	0.725	210	0.725	0.700
[10:31:39] 	0.725	+0.030	+4.3	267	0.725	0.730	359	0.725	0.700
[10:32:39] 	0.725	+0.030	+4.3	277	0.725	0.730	359	0.725	0.700
[10:34:30] 	0.730	+0.035	+5.0	292	0.725	0.730	368	0.730	0.700
[10:35:26] 	0.730	+0.035	+5.0	342	0.725	0.730	368	0.730	0.700
[10:36:08] 	0.730	+0.035	+5.0	342	0.725	0.730	354	0.730	0.700
[10:38:46] 	0.735	+0.040	+5.8	196	0.730	0.735	61	0.735	0.700
[10:40:12] 	0.735	+0.040	+5.8	76	0.735	0.740	271	0.735	0.700
[10:42:21] 	0.740	+0.045	+6.5	102	0.740	0.745	194	0.740	0.700
[10:42:38] 	0.740	+0.045	+6.5	107	0.740	0.745	167	0.740	0.700
[10:42:49] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:43:04] 	0.740	+0.045	+6.5	107	0.740	0.745	167	0.740	0.700
[10:43:50] 	0.740	+0.045	+6.5	121	0.740	0.745	135	0.745	0.700
[10:45:00] 	0.740	+0.045	+6.5	92	0.740	0.745	111	0.745	0.700
[10:45:50] 	0.740	+0.045	+6.5	84	0.740	0.745	116	0.745	0.700
[10:46:45] 	0.740	+0.045	+6.5	50	0.740	0.745	166	0.745	0.700
[10:47:41] 	0.740	+0.045	+6.5	41	0.740	0.745	181	0.745	0.700
[10:48:46] 	0.740	+0.045	+6.5	157	0.735	0.740	22	0.745	0.700
[10:49:48] 	0.740	+0.045	+6.5	177	0.735	0.740	29	0.745	0.700
[10:52:16] 	0.740	+0.045	+6.5	177	0.735	0.740	182	0.745	0.700
[10:52:29] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:53:04] 	0.740	+0.045	+6.5	177	0.735	0.740	182	0.745	0.700
[10:53:43] 	0.735	+0.040	+5.8	172	0.735	0.740	182	0.745	0.700
[10:54:51] 	0.735	+0.040	+5.8	189	0.735	0.740	182	0.745	0.700
[10:56:45] 	0.735	+0.040	+5.8	179	0.735	0.740	182	0.745	0.700
[10:57:50] 	0.735	+0.040	+5.8	168	0.735	0.740	182	0.745	0.700
[10:59:06] 	0.735	+0.040	+5.8	168	0.735	0.740	186	0.745	0.700
[11:01:21] 	0.735	+0.040	+5.8	165	0.735	0.740	186	0.745	0.700
[11:05:01] 	0.735	+0.040	+5.8	186	0.735	0.740	186	0.745	0.700
[11:06:37] 	0.735	+0.040	+5.8	202	0.735	0.740	217	0.745	0.700
[11:09:24] 	0.735	+0.040	+5.8	192	0.735	0.740	229	0.745	0.700
[11:09:54] 	0.735	+0.040	+5.8	190	0.735	0.740	229	0.745	0.700
[11:11:27] 	0.735	+0.040	+5.8	186	0.735	0.740	229	0.745	0.700
[11:13:10] 	0.740	+0.045	+6.5	209	0.735	0.740	228	0.745	0.700
[11:18:06] 	0.740	+0.045	+6.5	283	0.735	0.740	238	0.745	0.700
[12:07:57] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:08:11] 	0.730	+0.035	+5.0	281	0.730	0.735	148	0.745	0.700
[12:08:12] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:10:58] 	0.735	+0.040	+5.8	281	0.730	0.735	131	0.745	0.700
[12:11:14] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:11:26] 	0.735	+0.040	+5.8	281	0.730	0.735	131	0.745	0.700
[12:11:37] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:12:28] 	0.735	+0.040	+5.8	281	0.730	0.735	131	0.745	0.700
[12:12:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:12:55] 	0.735	+0.040	+5.8	281	0.730	0.735	98	0.745	0.700
[12:12:57] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:14:14] 	0.735	+0.040	+5.8	281	0.730	0.735	98	0.745	0.700
[12:15:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:17:11] 	0.735	+0.040	+5.8	281	0.730	0.735	88	0.745	0.700
[14:04:01] 	0.735	+0.040	+5.8	263	0.730	0.735	4	0.745	0.700
[14:05:46] 	0.735	+0.040	+5.8	12	0.735	0.740	463	0.745	0.700
[14:11:12] 	0.735	+0.040	+5.8	161	0.735	0.740	463	0.745	0.700
[14:14:04] 	0.735	+0.040	+5.8	225	0.735	0.740	463	0.745	0.700
[14:14:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:15:40] 	0.735	+0.040	+5.8	225	0.735	0.740	463	0.745	0.700
[14:17:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:18:03] 	0.735	+0.040	+5.8	195	0.735	0.740	463	0.745	0.700
[14:18:40] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:18:55] 	0.735	+0.040	+5.8	219	0.735	0.740	463	0.745	0.700
[14:20:43] 	0.740	+0.045	+6.5	284	0.735	0.740	462	0.745	0.700
[14:23:22] 	0.740	+0.045	+6.5	284	0.735	0.740	472	0.745	0.700
[14:23:39] 	0.740	+0.045	+6.5	284	0.735	0.740	471	0.745	0.700
[14:28:40] 	0.735	+0.040	+5.8	338	0.735	0.740	473	0.745	0.700
[14:30:51] 	0.735	+0.040	+5.8	348	0.735	0.740	473	0.745	0.700
[14:33:50] 	0.740	+0.045	+6.5	348	0.735	0.740	472	0.745	0.700
[14:34:41] 	0.740	+0.045	+6.5	348	0.735	0.740	482	0.745	0.700
[14:36:04] 	0.740	+0.045	+6.5	365	0.735	0.740	482	0.745	0.700
[14:41:25] 	0.740	+0.045	+6.5	365	0.735	0.740	495	0.745	0.700
[14:41:45] 	0.740	+0.045	+6.5	382	0.735	0.740	514	0.745	0.700
[14:45:43] 	0.735	+0.040	+5.8	377	0.735	0.740	648	0.735	0.735
[14:48:05] 	0.740	+0.045	+6.5	395	0.735	0.740	652	0.745	0.700
[14:48:36] 	0.740	+0.045	+6.5	395	0.735	0.740	649	0.745	0.700
[14:50:01] 	0.740	+0.045	+6.5	374	0.735	0.740	660	0.745	0.700
[14:51:10] 	0.740	+0.045	+6.5	424	0.735	0.740	660	0.745	0.700
[14:52:06] 	0.740	+0.045	+6.5	428	0.735	0.740	648	0.745	0.700
[14:53:42] 	0.740	+0.045	+6.5	428	0.735	0.740	630	0.745	0.700
[14:54:53] 	0.740	+0.045	+6.5	456	0.735	0.740	807	0.745	0.700
[14:55:40] 	0.735	+0.040	+5.8	496	0.735	0.740	807	0.745	0.700
[14:58:38] 	0.740	+0.045	+6.5	496	0.735	0.740	846	0.745	0.700
[15:04:38] 	0.740	+0.045	+6.5	443	0.735	0.740	756	0.745	0.700
[15:07:09] 	0.740	+0.045	+6.5	461	0.735	0.740	766	0.745	0.700
[15:11:32] 	0.740	+0.045	+6.5	461	0.735	0.740	748	0.745	0.700
[15:12:19] 	0.740	+0.045	+6.5	457	0.735	0.740	717	0.745	0.700
[15:12:48] 	0.740	+0.045	+6.5	457	0.735	0.740	767	0.745	0.700
[15:14:37] 	0.740	+0.045	+6.5	458	0.735	0.740	747	0.745	0.700
[15:15:54] 	0.740	+0.045	+6.5	460	0.735	0.740	756	0.745	0.700
[15:16:48] 	0.740	+0.045	+6.5	470	0.735	0.740	756	0.745	0.700
[15:17:49] 	0.735	+0.040	+5.8	420	0.735	0.740	756	0.745	0.700
[15:22:41] 	0.740	+0.045	+6.5	401	0.735	0.740	680	0.740	0.740
[15:23:51] 	0.740	+0.045	+6.5	407	0.735	0.740	675	0.745	0.700
[15:28:56] 	0.740	+0.045	+6.5	408	0.735	0.740	675	0.745	0.700
[15:29:44] 	0.740	+0.045	+6.5	408	0.735	0.740	695	0.745	0.700
[15:34:43] 	0.740	+0.045	+6.5	428	0.735	0.740	692	0.745	0.700
[15:34:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:35:12] 	0.740	+0.045	+6.5	428	0.735	0.740	692	0.745	0.700
[15:35:59] 	0.740	+0.045	+6.5	433	0.735	0.740	692	0.745	0.700
[15:36:47] 	0.740	+0.045	+6.5	433	0.735	0.740	684	0.745	0.700
[15:38:26] 	0.740	+0.045	+6.5	470	0.735	0.740	799	0.745	0.700
[15:40:29] 	0.740	+0.045	+6.5	480	0.735	0.740	790	0.745	0.700
[15:40:44] 	0.740	+0.045	+6.5	480	0.735	0.740	789	0.745	0.700
[15:41:44] 	0.740	+0.045	+6.5	480	0.735	0.740	788	0.745	0.700
[15:42:48] 	0.740	+0.045	+6.5	527	0.735	0.740	820	0.745	0.700
[15:45:20] 	0.740	+0.045	+6.5	530	0.735	0.740	814	0.745	0.700
[15:46:30] 	0.740	+0.045	+6.5	530	0.735	0.740	814	0.745	0.700
[15:46:46] 	0.740	+0.045	+6.5	524	0.735	0.740	767	0.745	0.700
[15:47:40] 	0.740	+0.045	+6.5	524	0.735	0.740	667	0.745	0.700
[15:48:50] 	0.740	+0.045	+6.5	524	0.735	0.740	678	0.745	0.700
[15:49:59] 	0.740	+0.045	+6.5	524	0.735	0.740	637	0.745	0.700
[15:51:08] 	0.740	+0.045	+6.5	521	0.735	0.740	751	0.745	0.700
[15:53:29] 	0.740	+0.045	+6.5	521	0.735	0.740	801	0.745	0.700
[15:54:04] 	0.740	+0.045	+6.5	519	0.735	0.740	841	0.745	0.700
[15:55:00] 	0.740	+0.045	+6.5	519	0.735	0.740	841	0.745	0.700
[15:56:02] 	0.740	+0.045	+6.5	520	0.735	0.740	840	0.745	0.700
[15:57:16] 	0.740	+0.045	+6.5	520	0.735	0.740	842	0.745	0.700
[15:57:55] 	0.740	+0.045	+6.5	515	0.735	0.740	898	0.745	0.700
[15:59:10] 	0.740	+0.045	+6.5	522	0.735	0.740	910	0.745	0.700
[16:02:07] 	0.740	+0.045	+6.5	499	0.735	0.740	734	0.745	0.700
[16:02:40] 	0.740	+0.045	+6.5	499	0.735	0.740	734	0.745	0.700
[16:04:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:04:35] 	0.740	+0.045	+6.5	499	0.735	0.740	725	0.745	0.700
[16:04:53] 	0.740	+0.045	+6.5	499	0.735	0.740	740	0.745	0.700
[16:06:41] 	0.740	+0.045	+6.5	521	0.735	0.740	687	0.745	0.700
[16:07:52] 	0.740	+0.045	+6.5	521	0.735	0.740	687	0.745	0.700
[16:09:04] 	0.740	+0.045	+6.5	521	0.735	0.740	667	0.745	0.700
[16:09:42] 	0.740	+0.045	+6.5	521	0.735	0.740	723	0.745	0.700
[16:10:44] 	0.735	+0.040	+5.8	506	0.735	0.740	723	0.745	0.700
[16:11:48] 	0.735	+0.040	+5.8	556	0.735	0.740	723	0.745	0.700
[16:12:38] 	0.735	+0.040	+5.8	551	0.735	0.740	723	0.745	0.700
[16:14:49] 	0.740	+0.045	+6.5	551	0.735	0.740	704	0.745	0.700
[16:15:42] 	0.735	+0.040	+5.8	546	0.735	0.740	715	0.745	0.700
[16:16:47] 	0.735	+0.040	+5.8	536	0.735	0.740	715	0.745	0.700
[16:19:08] 	0.740	+0.045	+6.5	507	0.735	0.740	654	0.745	0.700
[16:19:45] 	0.740	+0.045	+6.5	507	0.735	0.740	659	0.745	0.700
[16:20:44] 	0.740	+0.045	+6.5	522	0.735	0.740	661	0.745	0.700
[16:21:59] 	0.735	+0.040	+5.8	502	0.735	0.740	610	0.745	0.700
[16:22:51] 	0.740	+0.045	+6.5	502	0.735	0.740	614	0.745	0.700
[16:24:00] 	0.740	+0.045	+6.5	502	0.735	0.740	882	0.745	0.700
[16:26:00] 	0.740	+0.045	+6.5	502	0.735	0.740	903	0.745	0.700
[16:26:37] 	0.740	+0.045	+6.5	502	0.735	0.740	918	0.745	0.700
[16:29:33] 	0.735	+0.040	+5.8	346	0.735	0.740	856	0.745	0.700
[16:29:55] 	0.740	+0.045	+6.5	162	0.735	0.740	791	0.745	0.700
[16:31:10] 	0.735	+0.040	+5.8	163	0.735	0.740	540	0.745	0.700
[16:32:38] 	0.735	+0.040	+5.8	153	0.735	0.740	530	0.745	0.700
[16:33:53] 	0.730	+0.035	+5.0	257	0.730	0.735	2	0.745	0.700
[16:36:12] 	0.735	+0.040	+5.8	257	0.730	0.735	49	0.745	0.700
[16:37:00] 	0.735	+0.040	+5.8	257	0.730	0.735	65	0.745	0.700
[16:37:47] 	0.735	+0.040	+5.8	257	0.730	0.735	67	0.745	0.700
[16:48:12] 	0.735	+0.040	+5.8	36	0.735	0.740	365	0.745	0.700
[16:48:43] 	0.730	+0.035	+5.0	113	0.725	0.735	36	0.745	0.700
[16:49:41] 	0.730	+0.035	+5.0	113	0.725	0.730	41	0.745	0.700
[16:50:44] 	0.725	+0.030	+4.3	127	0.725	0.730	7	0.745	0.700
[16:51:41] 	0.730	+0.035	+5.0	44	0.730	0.735	30	0.745	0.700
[16:52:42] 	0.735	+0.040	+5.8	72	0.725	0.735	48	0.745	0.700
[16:53:43] 	0.735	+0.040	+5.8	72	0.725	0.730	21	0.745	0.700
[16:54:49] 	0.730	+0.035	+5.0	31	0.725	0.730	30	0.745	0.700
[16:55:40] 	0.725	+0.030	+4.3	36	0.720	0.725	24	0.745	0.700
[16:58:48] 	0.715	+0.020	+2.9	56	0.715	0.720	104	0.745	0.700
[17:01:34] 	0.715	+0.020	+2.9	40	0.800	0.415	42	0.745	0.700
[17:02:40] 	0.715	+0.020	+2.9	81	0.840	0.415	142	0.745	0.700
[17:04:37] 	0.715	+0.020	+2.9	105	0.705	0.710	460	0.745	0.700
[17:06:25] 	0.710	+0.015	+2.2	105	0.705	0.710	460	0.745	0.700
[17:08:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:08:53] 	0.710	+0.015	+2.2	105	0.705	0.710	460	0.745	0.700
[17:09:21] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:10:02] 	0.710	+0.015	+2.2	105	0.705	0.710	460	0.745	0.700
[09:50:36] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
