Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[10:21:25] 	1.830	-	-	11	1.830	1.850	42	1.830	1.830
[00:00:07] 	1.840	+0.010	+0.5	32	1.830	1.840	2	1.840	1.830
[00:03:23] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[00:03:39] 	1.840	+0.010	+0.5	32	1.830	1.840	2	1.840	1.830
[02:05:02] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[02:05:18] 	1.840	+0.010	+0.5	32	1.830	1.840	2	1.840	1.830
[08:29:51] 	-	-	-	5	1.830	1.910	6	-	-
[08:31:21] 	-	-	-	5	1.840	1.910	6	-	-
[08:31:53] 	-	-	-	6	1.840	1.870	2	-	-
[08:32:43] 	-	-	-	9	1.840	1.870	2	-	-
[08:33:59] 	-	-	-	9	1.840	1.830	1	-	-
[08:34:56] 	-	-	-	13	1.840	1.830	1	-	-
[08:43:38] 	-	-	-	23	1.840	1.830	1	-	-
[08:48:08] 	-	-	-	5	1.850	1.830	1	-	-
[08:51:13] 	-	-	-	9	1.850	1.830	1	-	-
[08:52:06] 	-	-	-	2	1.860	1.830	1	-	-
[08:59:20] 	-	-	-	1	1.870	1.830	1	-	-
[08:59:51] 	1.860	+0.020	+1.1	12	1.850	1.870	2	1.860	1.860
[09:00:52] 	1.860	+0.020	+1.1	38	1.860	1.870	12	1.860	1.860
[09:02:04] 	1.870	+0.030	+1.6	1	1.870	1.880	6	1.870	1.860
[09:02:42] 	1.870	+0.030	+1.6	1	1.870	1.880	7	1.870	1.860
[09:06:25] 	1.870	+0.030	+1.6	1	1.870	1.880	6	1.870	1.860
[09:06:40] 	1.880	+0.040	+2.2	1	1.870	1.880	2	1.880	1.860
[09:07:52] 	1.880	+0.040	+2.2	4	1.870	1.890	2	1.880	1.860
[09:08:57] 	1.880	+0.040	+2.2	4	1.870	1.880	3	1.880	1.860
[09:15:59] 	1.880	+0.040	+2.2	9	1.870	1.880	3	1.880	1.860
[09:16:42] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:16:58] 	1.880	+0.040	+2.2	9	1.870	1.880	3	1.880	1.860
[09:19:06] 	1.880	+0.040	+2.2	9	1.870	1.880	5	1.880	1.860
[09:23:31] 	1.880	+0.040	+2.2	9	1.870	1.880	1	1.880	1.860
[09:25:13] 	1.880	+0.040	+2.2	2	1.880	1.890	45	1.880	1.860
[09:27:51] 	1.880	+0.040	+2.2	2	1.880	1.890	2	1.880	1.860
[09:29:53] 	1.880	+0.040	+2.2	2	1.880	1.890	7	1.880	1.860
[09:34:14] 	1.880	+0.040	+2.2	7	1.880	1.890	2	1.880	1.860
[09:36:02] 	1.890	+0.050	+2.7	7	1.880	1.900	37	1.890	1.860
[09:37:40] 	1.890	+0.050	+2.7	4	1.880	1.900	37	1.890	1.860
[09:40:13] 	1.890	+0.050	+2.7	4	1.880	1.890	47	1.890	1.860
[09:43:00] 	1.880	+0.040	+2.2	1	1.880	1.890	47	1.890	1.860
[09:44:25] 	1.880	+0.040	+2.2	1	1.880	1.890	34	1.890	1.860
[09:44:57] 	1.880	+0.040	+2.2	11	1.870	1.880	4	1.890	1.860
[09:45:47] 	1.880	+0.040	+2.2	11	1.870	1.880	7	1.890	1.860
[09:45:57] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:46:11] 	1.880	+0.040	+2.2	11	1.870	1.880	7	1.890	1.860
[09:49:08] 	1.880	+0.040	+2.2	18	1.870	1.880	6	1.890	1.860
[09:49:48] 	1.880	+0.040	+2.2	16	1.870	1.880	4	1.890	1.860
[09:52:49] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:53:10] 	1.880	+0.040	+2.2	16	1.870	1.880	4	1.890	1.860
[09:54:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:54:34] 	1.880	+0.040	+2.2	16	1.870	1.880	4	1.890	1.860
[09:55:00] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:55:32] 	1.880	+0.040	+2.2	16	1.870	1.880	4	1.890	1.860
[09:56:10] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[09:57:08] 	1.880	+0.040	+2.2	16	1.870	1.880	4	1.890	1.860
[09:57:40] 	1.880	+0.040	+2.2	16	1.870	1.880	3	1.890	1.860
[10:00:13] 	1.880	+0.040	+2.2	16	1.870	1.880	40	1.890	1.860
[10:00:48] 	1.880	+0.040	+2.2	16	1.870	1.880	3	1.890	1.860
[10:03:01] 	1.880	+0.040	+2.2	16	1.870	1.880	42	1.890	1.860
[10:05:43] 	1.880	+0.040	+2.2	16	1.870	1.880	44	1.890	1.860
[10:10:50] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:11:00] 	1.880	+0.040	+2.2	16	1.870	1.880	10	1.890	1.860
[10:14:39] 	1.880	+0.040	+2.2	16	1.870	1.880	48	1.890	1.860
[10:16:14] 	1.880	+0.040	+2.2	16	1.870	1.880	58	1.890	1.860
[10:16:51] 	1.880	+0.040	+2.2	16	1.870	1.880	57	1.890	1.860
[10:18:44] 	1.880	+0.040	+2.2	16	1.870	1.880	64	1.890	1.860
[10:20:39] 	1.870	+0.030	+1.6	14	1.870	1.880	49	1.890	1.860
[10:21:48] 	1.870	+0.030	+1.6	14	1.870	1.880	15	1.890	1.860
[10:24:38] 	1.870	+0.030	+1.6	14	1.870	1.880	60	1.890	1.860
[10:26:08] 	1.870	+0.030	+1.6	14	1.870	1.880	16	1.890	1.860
[10:38:46] 	1.870	+0.030	+1.6	14	1.870	1.880	11	1.890	1.860
[10:42:49] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:43:04] 	1.870	+0.030	+1.6	14	1.870	1.880	11	1.890	1.860
[10:45:00] 	1.870	+0.030	+1.6	6	1.870	1.880	11	1.890	1.860
[10:47:41] 	1.870	+0.030	+1.6	6	1.870	1.880	13	1.890	1.860
[10:52:16] 	1.870	+0.030	+1.6	11	1.870	1.880	13	1.890	1.860
[10:52:29] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[10:53:04] 	1.870	+0.030	+1.6	11	1.870	1.880	13	1.890	1.860
[10:55:39] 	1.870	+0.030	+1.6	11	1.870	1.880	33	1.890	1.860
[11:18:06] 	1.870	+0.030	+1.6	11	1.870	1.880	35	1.890	1.860
[12:07:57] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:08:11] 	1.870	+0.030	+1.6	15	1.860	1.870	4	1.890	1.860
[12:08:12] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:10:58] 	1.870	+0.030	+1.6	15	1.860	1.870	4	1.890	1.860
[12:11:14] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:11:26] 	1.870	+0.030	+1.6	15	1.860	1.870	4	1.890	1.860
[12:11:37] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:12:28] 	1.870	+0.030	+1.6	15	1.860	1.870	4	1.890	1.860
[12:12:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:12:55] 	1.870	+0.030	+1.6	15	1.860	1.870	3	1.890	1.860
[12:12:56] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:14:14] 	1.870	+0.030	+1.6	15	1.860	1.870	3	1.890	1.860
[12:15:46] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[12:17:11] 	1.870	+0.030	+1.6	15	1.860	1.870	3	1.890	1.860
[14:04:01] 	1.860	+0.020	+1.1	18	1.860	1.870	3	1.890	1.860
[14:11:12] 	1.870	+0.030	+1.6	18	1.860	1.870	2	1.890	1.860
[14:14:59] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:15:40] 	1.870	+0.030	+1.6	18	1.860	1.870	2	1.890	1.860
[14:17:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:18:03] 	1.870	+0.030	+1.6	18	1.860	1.870	2	1.890	1.860
[14:18:40] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:18:55] 	1.870	+0.030	+1.6	18	1.860	1.870	2	1.890	1.860
[14:23:22] 	1.860	+0.020	+1.1	16	1.860	1.870	2	1.890	1.860
[14:28:40] 	1.860	+0.020	+1.1	34	1.860	1.870	2	1.890	1.860
[14:45:43] 	1.860	+0.020	+1.1	34	1.860	1.870	2	1.860	1.860
[14:48:05] 	1.860	+0.020	+1.1	34	1.860	1.870	2	1.890	1.860
[14:58:38] 	1.870	+0.030	+1.6	19	1.870	1.880	38	1.890	1.860
[15:04:38] 	1.870	+0.030	+1.6	8	1.850	1.870	26	1.890	1.860
[15:07:09] 	1.870	+0.030	+1.6	13	1.860	1.870	26	1.890	1.860
[15:11:32] 	1.870	+0.030	+1.6	13	1.860	1.870	27	1.890	1.860
[15:12:19] 	1.870	+0.030	+1.6	8	1.850	1.870	14	1.890	1.860
[15:22:41] 	1.870	+0.030	+1.6	8	1.850	1.870	14	1.870	1.870
[15:23:51] 	1.870	+0.030	+1.6	8	1.850	1.870	14	1.890	1.860
[15:28:56] 	1.870	+0.030	+1.6	2	1.860	1.870	14	1.890	1.860
[15:34:55] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:35:12] 	1.870	+0.030	+1.6	2	1.860	1.870	14	1.890	1.860
[15:36:46] 	1.870	+0.030	+1.6	2	1.860	1.870	20	1.890	1.860
[15:38:26] 	1.870	+0.030	+1.6	2	1.860	1.870	23	1.890	1.860
[15:40:29] 	1.870	+0.030	+1.6	14	1.850	1.870	20	1.890	1.860
[15:42:48] 	1.840	-	-	8	1.840	1.870	20	1.890	1.840
[15:47:40] 	1.840	-	-	9	1.840	1.870	20	1.890	1.840
[15:48:50] 	1.840	-	-	8	1.840	1.870	20	1.890	1.840
[16:04:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:04:35] 	1.840	-	-	8	1.840	1.870	20	1.890	1.840
[16:07:52] 	1.840	-	-	13	1.840	1.870	20	1.890	1.840
[16:19:45] 	1.840	-	-	13	1.840	1.870	22	1.890	1.840
[16:26:00] 	1.840	-	-	13	1.840	1.870	12	1.890	1.840
[16:37:47] 	1.840	-	-	10	1.840	1.870	12	1.890	1.840
[16:38:37] 	1.840	-	-	5	1.840	1.870	12	1.890	1.840
[16:48:12] 	1.840	-	-	5	1.850	1.870	12	1.890	1.840
[17:08:32] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:08:53] 	1.840	-	-	5	1.850	1.870	12	1.890	1.840
[17:09:21] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[17:10:02] 	1.840	-	-	5	1.850	1.870	12	1.890	1.840
[09:50:36] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
